Sucursal 1,Sucursal 2,Sucursal 3,Sucursal 4,Sucursal 5,Sucursal 6,Sucursal 7,Sucursal 8,Sucursal 9,Sucursal 10,Sucursal 11,Sucursal 12,Sucursal 13,Sucursal 14,Sucursal 15,Sucursal 16,Sucursal 17,Sucursal 18,Sucursal 19,Sucursal 20,Sucursal 21,Sucursal 22,Sucursal 23,Sucursal 24,Sucursal 25,Sucursal 26,Sucursal 27,Sucursal 28,Sucursal 29,Sucursal 30,Sucursal 31,Sucursal 32,Sucursal 33,Sucursal 34,Sucursal 35,Sucursal 36,Sucursal 37,Sucursal 38,Sucursal 39,Sucursal 40,Sucursal 41,Sucursal 42,Sucursal 43,Sucursal 44,Sucursal 45,Sucursal 46,Sucursal 47,Sucursal 48,Sucursal 49
1,0,0,20,18,15,0,0,0,1,6,80,164,4,2,97,4,2,0,3,9,2,0,11,2,3,1,6,3,2,3,3,1,6,3,19,5,52,1,3,1,2,1,3,5,5,0,15,8
0,0,1,1,1,13,0,0,0,3,8,3,27,6,8,94,2,3,0,7,16,1,0,3,5,11,2,11,4,3,8,2,3,11,1,4,3,3,0,1,1,0,7,3,4,9,0,4,0
0,0,0,1,2,24,1,0,0,4,3,5,24,12,5,67,1,1,1,5,0,2,0,8,3,1,3,9,0,1,5,2,3,12,1,0,1,1,0,0,0,0,12,14,11,8,1,0,2
3,9,0,30,0,12,0,0,0,5,57,70,26,4,3,97,1,8,0,1,0,0,0,0,2,0,8,0,6,6,4,0,6,0,1,1,2,4,2,1,1,0,3,14,1,10,0,0,0
2,0,0,1,2,9,0,1,0,15,42,48,0,2,2,97,5,0,1,0,0,0,0,6,7,1,0,3,17,8,2,1,11,1,0,0,0,1,0,0,0,0,2,5,0,2,1,0,1
4,1,0,5,13,9,1,0,0,8,67,58,112,9,1,95,1,6,1,1,1,2,0,39,1,10,0,16,30,43,9,9,0,3,1,19,0,3,1,3,1,0,0,1,30,55,1,6,0
3,4,0,4,0,7,1,2,0,0,13,34,2,3,0,54,0,20,2,0,0,0,0,47,1,18,3,44,54,32,9,5,18,12,3,22,1,3,3,0,5,2,4,11,2,50,1,20,1
7,1,0,2,2,2,0,0,0,3,34,46,1,0,13,13,1,15,2,1,0,0,1,51,0,70,4,24,25,50,24,2,5,14,7,82,0,1,0,2,7,2,0,7,2,38,1,2,1
5,5,0,9,1,3,0,0,0,14,47,62,56,0,27,79,0,23,2,0,1,0,1,58,0,28,0,67,97,32,44,3,44,10,23,24,3,3,0,0,0,1,2,20,46,41,1,31,21
2,0,1,4,0,2,0,0,0,1,7,83,1,5,25,77,1,8,0,1,2,1,0,63,0,35,0,64,58,99,46,6,51,8,14,27,1,3,1,1,1,3,0,1,24,17,0,31,25
2,3,1,11,2,2,0,0,0,8,11,104,0,4,3,9,0,10,4,0,0,1,3,105,5,95,0,77,84,145,67,4,23,14,7,46,2,2,1,1,1,4,2,1,31,113,1,66,58
4,10,1,10,0,2,8,0,3,1,70,1,1,1,1,8,0,20,0,0,12,3,2,118,4,50,3,23,103,71,30,0,30,19,0,63,1,5,2,3,3,1,4,24,16,63,3,8,26
0,5,23,6,0,2,0,0,20,5,64,23,1,3,0,16,0,45,1,0,1,4,4,38,27,58,2,74,68,44,47,16,43,34,37,96,1,1,2,0,2,2,1,8,21,91,1,35,37
2,1,1,3,10,7,26,0,14,3,14,20,3,2,0,9,0,30,2,0,7,5,1,97,12,49,0,81,64,19,51,0,32,45,22,50,3,3,3,2,0,2,0,1,16,10,2,53,80
1,12,0,2,17,4,29,0,4,0,10,2,0,4,30,6,0,60,2,0,3,3,1,68,15,44,6,45,44,70,64,26,19,39,49,16,3,3,2,4,4,4,2,73,36,61,2,116,72
2,3,1,11,2,2,0,0,0,8,11,104,37,4,3,9,1,32,1,10,7,15,4,50,40,47,41,246,57,46,87,55,114,41,50,95,2,1,10,3,6,3,0,118,40,83,1,155,83
11,16,78,3,1,10,71,18,23,16,77,72,3,61,53,15,1,26,3,0,2,0,6,70,18,40,34,110,102,100,50,1,49,63,61,21,5,0,2,3,4,2,4,114,25,94,1,47,27
2,5,56,3,2,9,80,0,18,7,15,27,0,19,0,2,10,31,2,0,1,0,4,110,79,46,59,92,72,85,66,2,57,61,75,81,4,7,5,4,5,5,2,82,43,129,2,63,70
8,1,55,1,2,0,22,0,19,4,24,5,3,27,6,12,17,62,4,42,0,6,1,43,12,45,19,103,49,85,49,15,66,34,16,82,3,2,5,3,4,2,7,46,22,144,0,50,14
1,2,65,3,17,5,50,0,24,1,44,4,2,5,9,10,4,47,1,6,0,3,3,46,10,67,23,36,48,108,41,32,48,38,22,22,9,9,4,5,3,3,2,61,77,164,3,76,88
33,3,108,13,15,10,53,1,22,4,14,11,1,26,1,10,1,41,6,6,1,20,8,94,52,149,39,161,83,52,81,44,66,86,47,161,6,4,6,8,8,2,4,52,66,129,2,82,65
35,1,26,3,12,4,18,1,15,5,4,14,4,42,62,4,0,49,4,45,24,1,4,78,81,82,25,172,18,80,38,24,56,86,40,86,6,4,4,1,0,4,5,124,45,91,0,13,90
16,3,45,23,8,6,12,3,15,1,31,7,0,8,73,11,6,23,4,1,5,10,2,57,34,67,63,134,75,77,81,12,50,100,55,107,5,1,2,2,7,5,4,76,55,66,1,65,42
15,11,34,34,10,11,20,7,19,6,32,11,3,40,38,4,9,62,2,44,7,0,1,101,51,109,23,91,138,144,50,3,61,143,38,122,16,2,4,0,1,4,1,65,50,48,1,51,38
22,20,4,24,3,17,15,0,17,2,58,22,10,9,45,30,0,19,2,0,8,0,4,28,80,42,52,39,59,45,34,3,47,72,50,82,6,1,10,3,4,2,3,76,79,66,1,105,26
44,16,36,24,16,47,33,18,46,10,46,33,16,10,62,19,0,32,6,4,18,11,8,205,46,70,26,200,92,111,29,51,70,93,79,43,7,4,9,6,6,2,2,77,34,96,4,35,82
30,13,66,37,22,29,20,10,23,1,46,31,6,13,28,16,6,28,2,40,0,2,4,136,22,66,44,93,80,35,73,50,50,96,48,43,8,2,6,3,3,9,1,93,35,68,2,40,51
11,22,22,30,31,37,24,57,17,30,40,34,7,26,32,38,2,37,3,1,8,3,1,93,21,33,5,73,56,77,52,19,59,83,26,161,8,3,6,1,7,2,0,50,43,55,0,38,42
15,29,5,25,31,28,0,52,25,10,38,28,9,10,6,21,0,13,3,35,3,10,3,66,23,23,31,86,70,86,36,93,55,12,22,37,4,2,6,1,5,5,3,30,51,61,2,14,29
18,12,40,41,30,17,31,18,13,19,14,18,15,26,5,34,0,2,3,0,6,0,8,92,3,24,80,63,29,54,38,34,48,62,24,78,4,2,2,5,6,3,2,60,48,28,0,23,4
15,16,37,41,49,22,30,25,29,18,78,24,28,21,39,36,0,45,4,2,0,0,12,0,3,61,17,113,40,48,17,26,21,1,8,31,3,2,9,2,10,3,2,73,32,2,0,7,57
29,25,17,26,34,17,22,28,25,30,59,26,10,19,10,31,2,29,7,72,55,23,6,165,36,112,42,164,63,85,70,54,102,117,61,112,10,18,8,5,8,6,5,85,86,205,3,20,115
30,32,3,37,30,20,28,30,20,16,45,21,31,48,29,32,12,25,1,19,20,9,0,111,19,76,53,116,73,48,70,8,81,122,32,155,7,11,3,5,8,3,2,111,33,100,2,48,38
32,18,19,13,23,22,23,25,15,0,24,26,30,38,34,17,0,2,2,61,8,0,3,93,34,54,73,81,53,51,78,68,63,64,41,50,7,1,10,5,4,5,4,95,33,123,4,67,20
23,21,4,50,23,18,20,20,4,2,8,35,33,26,41,13,0,9,3,1,1,6,1,61,29,59,28,76,30,70,63,40,69,49,12,121,5,3,1,4,5,5,4,36,24,120,6,30,56
27,33,24,38,29,15,50,21,5,14,54,46,14,10,37,23,22,29,2,0,0,14,4,21,19,40,61,72,19,65,41,85,74,34,44,82,6,1,9,4,9,7,0,100,17,72,9,68,22
21,7,10,43,33,1,28,26,6,9,32,53,19,28,34,15,13,11,4,0,4,0,2,72,22,16,40,49,5,70,51,2,39,7,52,90,1,2,8,1,2,4,1,0,23,37,1,39,30
26,11,19,13,18,23,15,31,20,36,18,52,26,15,12,36,42,26,4,43,20,16,6,82,20,95,0,113,55,43,98,1,37,117,44,69,9,3,1,6,9,9,2,70,48,97,2,42,87
23,23,27,38,25,25,21,17,13,14,53,21,17,20,12,31,4,20,2,44,7,6,3,28,17,47,54,59,111,61,16,1,62,49,61,5,4,6,8,6,4,2,2,54,68,79,1,72,65
22,13,21,48,20,6,21,22,8,17,16,60,9,18,11,24,6,14,4,1,10,15,5,75,12,60,34,58,49,23,35,89,75,25,47,94,6,5,3,4,4,9,0,8,33,81,3,46,11
22,46,29,18,36,24,45,24,27,17,28,51,37,17,16,67,13,27,5,1,14,32,2,2,22,45,22,99,21,49,58,14,14,70,105,40,5,2,9,10,6,4,1,123,21,55,1,51,75
40,29,33,51,17,14,18,6,16,5,69,32,22,14,20,40,14,13,5,0,15,1,4,133,15,100,49,56,34,36,67,7,74,100,48,100,7,3,4,2,4,4,1,45,65,73,2,49,23
41,32,37,20,17,15,16,11,21,2,34,36,19,5,16,41,0,8,1,0,15,24,0,43,18,42,23,21,66,69,28,4,62,52,26,16,6,6,3,5,6,3,0,43,46,28,1,45,48
60,37,20,11,4,6,26,34,14,6,10,22,4,11,28,39,2,33,4,28,10,5,2,64,14,30,53,45,63,29,46,28,10,62,48,34,4,1,6,6,3,7,0,71,8,78,0,48,35
9,11,7,4,13,9,1,6,14,0,7,27,59,8,7,30,1,31,3,3,18,14,7,39,8,56,19,77,33,34,52,37,71,40,21,57,6,2,2,4,4,6,0,72,39,40,1,83,64
25,2,29,9,59,38,19,13,24,44,8,29,12,17,17,43,36,25,7,26,0,5,7,64,18,88,79,125,50,76,50,7,33,36,23,51,8,0,6,5,4,2,3,15,60,109,1,51,26
16,13,10,18,19,21,30,9,6,7,36,33,9,9,7,32,14,13,5,0,15,1,4,133,15,100,49,56,34,36,67,7,74,100,48,100,7,3,4,2,4,4,1,45,65,73,2,49,23
25,13,15,23,5,11,16,36,22,1,18,32,13,25,23,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,15,24,15,15,9,19,24,15,8,9,26,9,19,15,36,15,26,2,9,4,31,11,77,3,61,13,55,98,30,71,0,72,46,65,89,6,7,2,5,6,7,3,123,54,71,2,44,101
24,1,31,25,12,11,12,29,14,14,4,34,8,12,7,20,3,11,4,2,23,27,4,38,6,32,31,63,85,51,100,79,43,120,44,145,5,3,4,10,4,7,2,34,98,52,0,56,25
35,19,21,39,35,24,21,33,2,17,23,36,28,20,28,24,12,19,6,15,14,37,9,5,2,47,4,86,95,60,72,22,68,61,77,117,7,7,10,4,4,6,1,87,38,102,2,52,30
28,20,0,20,55,25,18,37,45,16,24,36,26,16,17,24,0,32,4,0,12,27,2,101,15,34,13,63,7,122,43,4,61,106,53,64,4,3,3,4,3,2,4,19,85,83,2,36,26
23,18,21,14,30,13,25,25,33,27,17,33,29,12,18,30,8,17,2,3,4,30,2,50,12,27,19,63,89,62,81,1,35,105,30,68,2,3,5,2,4,4,5,0,59,78,2,34,31
26,14,43,17,31,28,21,29,24,0,7,29,15,17,17,38,0,11,4,0,8,0,2,34,14,23,5,43,177,71,37,54,19,51,23,38,5,2,10,4,4,2,16,2,29,40,1,39,12
48,40,17,46,37,21,23,24,24,1,12,17,6,20,29,33,0,25,2,6,0,48,3,47,17,24,47,89,63,63,95,51,53,38,17,80,4,4,1,1,5,7,2,8,61,91,2,43,31
19,8,55,28,71,37,32,37,7,29,32,31,10,11,14,44,29,30,3,4,6,1,5,74,17,83,20,81,96,76,56,0,77,104,46,106,2,0,5,2,6,3,9,10,40,102,7,88,13
13,26,69,26,12,17,17,31,32,18,15,51,3,17,22,42,10,5,4,9,14,1,0,36,11,91,11,57,43,37,106,1,48,51,44,27,6,2,4,2,4,4,2,13,65,75,1,49,119
36,14,22,25,23,30,23,23,49,1,24,21,33,20,33,36,0,7,1,0,0,0,1,37,8,35,6,40,94,31,43,4,43,48,24,39,6,2,0,5,6,1,0,0,31,73,10,20,0
10,10,38,20,7,12,17,8,23,21,65,34,31,6,24,32,0,10,2,1,0,0,4,15,4,12,18,54,42,44,15,10,15,23,61,21,1,1,3,2,5,0,1,11,27,80,1,30,32
19,6,7,12,7,20,31,19,33,7,30,22,25,17,19,26,0,29,3,12,8,43,2,44,9,49,17,43,4,58,22,12,18,47,24,6,4,1,1,0,0,2,3,14,100,62,2,54,44
16,13,4,8,3,8,2,6,2,7,22,22,7,5,5,5,6,23,7,2,29,53,4,61,17,43,14,41,72,76,33,24,46,50,51,122,6,2,5,6,2,3,6,164,37,96,2,84,30
35,44,70,24,27,17,21,41,31,4,24,53,25,9,35,34,17,25,3,6,48,1,3,30,25,53,18,133,104,65,33,2,27,37,30,68,2,0,3,5,3,6,1,32,86,61,1,51,82
20,8,18,29,11,29,10,4,5,30,41,19,3,14,22,13,0,4,3,5,23,4,5,23,19,20,27,58,76,53,60,2,33,24,39,38,3,0,2,3,8,5,3,2,57,16,1,56,40
37,31,45,27,16,34,10,6,33,23,74,26,36,8,33,60,8,60,3,5,8,35,2,45,24,47,20,45,129,59,52,16,20,37,31,68,3,1,6,0,3,3,2,48,45,95,1,52,31
32,13,18,15,3,13,18,8,15,10,53,48,10,29,28,40,38,46,7,46,20,33,12,91,56,81,59,89,52,87,81,106,87,60,86,74,11,6,12,11,11,14,14,81,89,61,11,85,95
14,8,13,11,9,19,7,13,13,17,8,29,22,23,12,10,9,0,2,24,0,30,5,44,11,40,13,65,53,44,33,15,15,52,2,64,4,7,10,3,8,4,23,50,31,69,2,48,47
41,11,46,39,1,5,8,6,15,14,2,14,12,12,15,35,6,44,4,23,15,44,3,54,37,15,4,68,5,36,19,1,31,14,0,0,13,5,6,3,0,3,10,39,26,61,1,25,24
23,7,10,39,10,11,3,16,28,10,13,20,10,8,18,22,0,5,1,10,8,15,3,41,47,68,45,36,100,49,33,1,69,46,0,14,7,2,4,6,4,1,0,7,42,91,3,36,0
29,19,7,22,11,26,13,44,26,12,14,41,46,48,10,40,11,29,3,25,3,36,2,39,10,46,14,50,62,15,34,1,42,23,77,104,9,5,2,4,2,6,7,35,59,92,1,29,40
28,12,19,6,13,22,20,20,15,0,90,34,8,20,16,25,2,34,1,10,8,13,3,61,32,36,65,41,101,67,60,4,29,58,74,133,8,8,5,9,5,3,1,86,45,96,2,37,43
23,5,44,28,32,18,3,24,19,15,8,26,30,3,13,44,35,1,7,7,3,5,9,12,6,16,8,53,66,65,64,9,9,2,14,68,8,5,6,2,2,2,0,12,77,57,2,27,58
16,24,15,19,19,23,16,16,9,20,24,20,18,9,34,16,29,4,4,25,22,2,7,65,2,35,11,56,24,29,64,36,64,58,4,88,14,4,3,1,3,3,1,11,37,70,1,23,88
20,20,41,26,2,12,13,35,27,0,52,37,20,15,18,36,11,37,6,10,3,5,2,18,14,78,4,51,62,50,16,30,47,27,44,36,11,1,2,2,7,3,1,58,60,78,0,35,37
10,6,6,8,11,20,14,28,15,0,73,31,14,17,10,12,27,22,4,28,11,10,3,73,10,22,6,37,100,82,51,41,8,24,68,61,26,2,2,5,4,4,1,34,35,101,1,27,33
27,16,50,8,10,15,26,19,40,10,16,43,15,12,13,46,2,2,4,14,12,1,1,38,10,60,2,58,111,18,58,14,37,30,48,83,15,3,3,1,5,4,1,5,56,43,2,21,26
37,17,38,22,19,21,25,24,17,38,49,32,18,10,14,16,1,35,9,32,36,9,6,54,16,80,8,44,78,129,92,24,65,54,100,54,11,5,2,5,8,4,6,34,62,68,3,53,51
16,24,15,19,19,23,16,16,9,20,24,20,18,9,34,16,10,12,2,1,23,11,3,63,3,16,13,41,3,47,27,1,45,52,8,49,21,4,3,3,0,0,3,49,40,1,2,12,43
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,13,8,44,37,6,5,29,13,78,13,69,120,65,34,18,80,53,62,142,18,11,3,13,4,4,4,50,55,120,3,57,42
19,39,61,20,17,17,10,18,34,17,41,64,19,15,25,51,0,3,3,15,20,16,6,34,18,28,19,47,51,28,39,6,15,63,34,67,12,2,6,11,2,5,5,3,39,58,4,26,51
26,15,32,19,22,31,31,34,30,53,16,38,34,25,14,38,1,32,4,2,6,2,3,29,8,15,19,41,33,11,26,0,43,31,6,5,4,6,3,3,6,5,2,71,29,54,1,50,40
12,16,17,16,9,20,17,22,12,41,20,30,21,29,26,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,11,11,14,8,28,21,15,18,10,21,16,22,10,25,50,0,10,9,15,18,11,8,21,16,33,15,48,102,46,33,6,12,43,16,20,4,6,4,8,10,3,21,78,41,96,4,53,14
21,9,24,21,11,34,34,4,17,16,17,16,32,19,6,27,2,19,4,12,31,4,6,13,14,53,5,25,88,59,11,1,43,62,29,48,11,3,2,5,13,0,2,43,29,34,1,17,36
22,9,29,30,8,24,7,15,10,17,26,22,37,11,15,14,0,12,6,14,5,5,1,22,10,20,5,27,69,41,59,35,32,61,34,38,7,7,4,18,5,7,1,40,18,43,1,54,17
17,27,39,10,11,11,5,23,20,26,12,23,19,22,18,34,1,18,2,7,2,6,5,17,1,45,3,29,58,32,16,23,13,22,28,35,6,2,3,3,3,7,3,15,48,30,3,34,33
39,21,34,20,18,41,22,21,15,7,18,13,8,18,13,32,0,10,4,13,17,9,8,10,18,40,2,38,33,40,23,17,21,30,25,50,19,6,1,7,1,9,8,18,18,51,1,14,55
45,28,33,22,11,22,25,7,9,18,37,26,16,22,44,38,24,19,2,10,19,18,4,10,8,47,28,20,46,37,32,10,13,29,30,45,8,4,6,9,1,5,11,22,47,16,0,16,22
18,5,15,28,2,17,14,24,22,1,31,38,25,13,13,71,36,17,4,11,14,19,0,10,15,43,12,18,22,36,9,29,19,24,29,21,6,6,3,14,9,3,6,1,2,32,3,22,6
24,15,3,22,7,16,14,15,10,34,8,15,17,29,24,34,12,11,1,0,30,9,0,19,1,36,5,26,22,13,9,7,19,34,16,24,8,3,1,14,16,4,1,16,27,27,0,17,10
8,5,5,8,0,13,5,5,9,33,4,7,6,7,7,27,14,16,4,2,2,26,1,8,2,1,1,23,45,29,17,0,19,40,14,40,8,6,1,4,1,4,5,29,14,9,5,11,16
10,4,17,11,15,13,8,20,16,26,1,12,24,20,25,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,8,13,42,19,23,2,18,8,14,5,26,28,27,17,5,0,9,12,5,29,26,8,11,13,40,3,21,36,22,17,2,21,46,24,35,18,3,4,6,7,4,3,31,22,16,5,22,7
13,4,6,14,8,10,1,18,14,13,6,17,9,12,11,57,1,8,9,2,11,29,3,12,19,16,0,22,15,28,9,1,23,18,14,36,15,7,5,8,4,5,9,5,5,26,1,28,25
19,1,31,36,11,17,19,21,21,6,5,23,15,25,13,21,7,8,9,3,6,24,5,17,9,9,14,10,15,25,19,3,15,14,21,27,12,6,4,10,7,7,4,11,31,26,1,16,5
47,22,30,19,33,31,25,36,38,13,26,49,37,30,43,44,0,8,5,0,1,8,3,14,18,23,6,15,22,15,14,3,13,21,13,17,7,2,8,4,3,6,4,2,5,32,3,13,14
13,11,63,18,16,20,7,15,18,14,27,5,34,11,27,45,10,16,9,16,38,7,10,8,15,23,12,38,33,36,27,5,23,11,11,34,17,8,5,6,4,10,10,12,27,63,3,13,14
18,19,21,47,16,16,14,17,18,10,33,24,18,19,17,32,1,22,1,7,7,9,8,9,4,37,6,24,26,14,13,21,35,18,11,40,13,5,8,10,0,5,10,9,27,21,2,15,5
10,6,24,21,15,34,12,10,4,20,21,28,5,24,24,29,1,9,5,6,12,9,4,4,6,15,2,24,9,9,3,2,23,22,3,32,7,5,3,3,3,5,11,2,10,4,1,9,10
11,20,12,17,8,10,5,20,4,13,12,15,8,15,10,22,0,6,7,5,18,23,7,108,6,3,7,34,15,22,17,4,17,21,33,23,9,11,4,15,3,8,0,7,16,55,4,9,0
17,8,23,19,18,4,14,18,44,20,26,9,26,17,21,28,2,3,4,3,9,3,7,17,18,42,11,26,14,17,31,0,23,25,20,45,13,10,5,10,1,5,6,0,2,10,1,11,14
18,15,0,4,8,5,8,6,12,9,16,31,11,9,18,31,27,20,9,32,2,27,6,5,20,9,11,21,21,16,9,1,11,9,14,15,13,8,7,4,6,6,11,7,3,45,1,17,2
